Cycle,slope,intercept,Tavg,IR,chargetime,dQdV_max,dQdV_min,dQdV_var,RUL,SOH
1.0,0.01041709113239788,0.010447202115113848,31.719241238930685,0.01775966,10.180156666666639,-0.13122210104960155,-7.073668339645607,3.7163000635890717,491.0,0.9901740085477134
2.0,0.01036475526873942,0.010350957176401908,31.512931310373443,0.01768863,10.096976666666645,-0.1306860149423436,-6.989454671165866,3.698100132147967,490.0,0.9936620304444365
3.0,0.010427978530402565,0.010346188603306312,31.70055185439328,0.017703837,10.18026333333352,-0.09803306447941762,-6.709998406874511,3.669037887907114,489.0,0.9951777807959467
4.0,0.010502221080738484,0.01041180928296597,31.834585871404418,0.017600309,10.096593333333294,-0.0958061357138929,-7.125054241794751,3.839680742804606,488.0,0.9962090502294595
5.0,0.010440973402316164,0.010333232063523927,31.615444830665524,0.017663617,10.180268333333515,-0.0927481435150317,-6.740239591547532,3.7078915970725053,487.0,0.9967034374073892
6.0,0.01045262886770292,0.010312625355052027,31.742942478188017,0.017587544,10.180319999999968,-0.13395083123127827,-6.92355494173273,3.796713629845738,486.0,0.9972854996148129
7.0,0.010452299897829562,0.010317329635517018,31.835689722407945,0.017498765,10.179819999999987,-0.13435229457866363,-6.843214392629253,3.733603433102067,485.0,0.997647772466356
8.0,0.010377498106480037,0.010243330090098406,31.585106657240804,0.017590331,10.09647166666667,-0.13369426225795544,-6.855354730732615,3.679900988911626,484.0,0.9976786948104437
9.0,0.010413638758093754,0.010275205892449811,31.712287809401698,0.017525068,10.179931666666622,-0.09400581707890757,-6.8574727868840855,3.6955433070817527,483.0,0.9981124408644887
10.0,0.010451955912094923,0.010319312952945824,31.73012280000007,0.017472312,10.096483333333405,-0.09552214004452687,-7.301305849396982,3.8106232689991013,482.0,0.9983171393757999
11.0,0.010388803368365103,0.010255193773606813,31.555933747058877,0.017566985,10.18034333333344,-0.13420242120421713,-6.965173948498387,3.7123157292976385,481.0,0.9982911238707441
12.0,0.010348471776190209,0.010193976926849688,31.68826378098468,0.017484654,10.096668333333461,-0.13541541076376273,-6.807414113380389,3.683043116230919,480.0,0.9986257147435977
13.0,0.010244161526008846,0.010138983299931946,31.640448760814277,0.01745053,10.0963883333335,-0.13513286690531917,-6.8427856437172085,3.63245784164511,479.0,0.9987362574946179
14.0,0.010340701697742902,0.010234618688502343,31.579976013445325,0.017555313,10.180493333333288,-0.09741420689968949,-6.826113762944139,3.7101833959829666,478.0,0.998699872820287
15.0,0.010331337265869578,0.010203783963765882,31.77545448854966,0.017497685,10.096879999999995,-0.09436724132886745,-7.158632969641813,3.8705921925494504,477.0,0.9988816110282039
