Cycle,slope,intercept,Tavg,IR,chargetime,dQdV_max,dQdV_min,dQdV_var,RUL,SOH
1.0,0.010216687959849483,0.010262240590173975,33.27405608797631,0.015744392,10.04431333333317,-0.1363792373725809,-6.669978544888319,3.5187908647691386,939.0,0.9950949101731447
2.0,0.010223316626872057,0.010227959852372471,33.27421191467969,0.015722955,10.04268333333336,-0.13745309735195035,-6.618471907410506,3.526842119304998,938.0,0.996103100004479
3.0,0.010219263799285396,0.010207633564210304,33.246229551622946,0.015682839,10.043701666666554,-0.13886293395929747,-6.614707013474511,3.536736182575685,937.0,0.9966732622227535
4.0,0.010220930087682118,0.010196028585476144,33.251322461606804,0.01565397,10.04392333333332,-0.13903775782600927,-6.660945199780875,3.537551389142677,936.0,0.9971906264698112
5.0,0.010205026677115502,0.010165511477271285,33.21079014744315,0.015644995,10.043518333333244,-0.1384141329275241,-6.640823145653117,3.537125489049774,935.0,0.9977052902915333
6.0,0.010196185486255003,0.010130624561864681,33.16837381154151,0.015626056,10.043351666666664,-0.13930622932989348,-6.6073406806342945,3.5371557886056535,934.0,0.9981428523140177
7.0,0.010199145124862525,0.010133201939038631,33.18872300783096,0.015614382,10.042296666666516,-0.1391233505669499,-6.6404614825468915,3.5404446733677952,933.0,0.9984447412429164
8.0,0.010207380458549077,0.01012876513147695,33.16000702338339,0.015605444,10.042431666666623,-0.13945395550949027,-6.655151709654456,3.545693629690096,932.0,0.998579855627812
9.0,0.010221337049161857,0.010140650368072938,33.22288852789364,0.015607156,10.042708333333334,-0.13928421808606983,-6.67708512978697,3.5570154495702675,931.0,0.9987847154808588
10.0,0.010210337545563533,0.010119616723532709,33.117231234511685,0.015607859,10.042576666666719,-0.1398144555461834,-6.68626394878187,3.556312056418016,930.0,0.9989229958816651
11.0,0.01018091471955175,0.010094936244380402,33.043061784916794,0.015599118,10.043990000000242,-0.1405635615590017,-6.632354570224321,3.542196949033388,929.0,0.9990779444250604
12.0,0.010160452919091236,0.010075066074790211,33.148604954419945,0.015608153,10.042270000000038,-0.13954939599215505,-6.599740194307722,3.528320424751733,928.0,0.9991870788558651
13.0,0.01016919317711333,0.010066244881801134,33.13013570521502,0.015610704,10.04284333333344,-0.13953389899604515,-6.613255671389869,3.5322933379159758,927.0,0.999336067839899
14.0,0.010154074431152144,0.010045845409156887,33.21309430673237,0.015584771,10.044158333333325,-0.14009416807831684,-6.603304991105901,3.5307675519587645,926.0,0.9993983638588482
15.0,0.010158018497817441,0.010039151585466345,33.202147830527565,0.01557398,10.04292333333336,-0.13959982373637728,-6.613263322182386,3.5290841193321882,925.0,0.9994706235161047
16.0,0.010160719960050576,0.010037524191268812,33.244670590114886,0.01556294,10.04296666666681,-0.14053565159014042,-6.613287203032413,3.5308241401511156,924.0,0.9994898989659139
17.0,0.01015433347519212,0.010034229073022644,33.29204623582311,0.015548734,10.043296666666476,-0.14110954588024668,-6.586523873726572,3.5334724798709676,923.0,0.9995922357743222
18.0,0.010149529082686416,0.010034485460719703,33.28436199910235,0.015539642,10.044508333333457,-0.14004897659496698,-6.647827859348531,3.5407328861349034,922.0,0.9996324628000115
19.0,0.010135966292363312,0.010019961130867774,33.252458830329374,0.015535987,10.042328333333232,-0.14142902464177726,-6.539720712583209,3.5223479991011377,921.0,0.9996990422522516
20.0,0.010136634467721993,0.01002215966031037,33.302390267227786,0.015531228,10.043833333333412,-0.14267599610102835,-6.577204210150351,3.5201271786093002,920.0,0.9997588240820952
21.0,0.010135502521805577,0.01002951838461585,33.29940681806334,0.015541665,10.043039999999746,-0.14125653576270208,-6.57621889354017,3.5068905858240726,919.0,0.9997812655478151
