Cycle,slope,intercept,Tavg,IR,chargetime,dQdV_max,dQdV_min,dQdV_var,RUL,SOH
1.0,0.010462212142406477,0.010513085103220321,32.61514036353193,0.015778109,11.037984999999995,-0.1362145075011699,-6.890425426983587,3.675801174687547,1800.0,0.9968820440002175
2.0,0.010451072173626381,0.010467308336383025,32.583423368914104,0.015742011,11.03971833333344,-0.13753881443875687,-6.891724964072283,3.6945276460881615,1799.0,0.9975784984993165
3.0,0.010472365797271009,0.010461433363771184,32.5893189767775,0.015711647,11.037379999999878,-0.13764630711980216,-6.795994079650545,3.6797960477602936,1798.0,0.9981062257734428
4.0,0.010450289159177685,0.010424168328565209,32.57289500144207,0.015697755,11.037245000000015,-0.13386395005046786,-6.82202170754783,3.6741920333311513,1797.0,0.9983930340745985
5.0,0.010456155812991865,0.010415357598615208,32.536870137754754,0.015679035,11.03616000000014,-0.13730343663210542,-6.827658680454154,3.68734586588794,1796.0,0.9985763115743612
6.0,0.010456221015495539,0.0103907364497666,32.54653122757941,0.015674813,11.037746666666498,-0.14075480450116307,-6.848959340216171,3.7032557562169526,1795.0,0.998849875394618
7.0,0.010470495168740445,0.01040167694822499,32.543717095867876,0.015676383,11.038334999999885,-0.13590535190118969,-6.825593122661533,3.697526660038309,1794.0,0.9990768969897441
8.0,0.010438439080979689,0.010352096682028288,32.57559522926095,0.0156687,11.03929833333338,-0.13948528040252228,-6.80549242332697,3.6834796113396364,1793.0,0.9989441723677784
9.0,0.010427358768714898,0.01033641070518938,32.55387856163,0.015646726,11.0378866666666,-0.14238060690441212,-6.765008931637663,3.6668289143101913,1792.0,0.9991154179095415
10.0,0.010396383102152823,0.010297961174577153,32.522653078288265,0.015655864,11.038494999999966,-0.1404959107455711,-6.805759102871032,3.6650918790911904,1791.0,0.999240867394112
11.0,0.010388009126173318,0.010288597817842488,32.57109166218765,0.015640149,11.038430000000032,-0.14114820203436226,-6.773549970160047,3.6620827486484306,1790.0,0.9991508608865949
12.0,0.010383511284505277,0.01029120850025312,32.583500818523405,0.015641212,11.056529999999718,-0.14069307833920025,-6.725006156803747,3.6506778758587224,1789.0,0.9992268767452752
13.0,0.010372594332334945,0.010277897293452463,32.54937695558171,0.015644327,11.037208333333547,-0.1417125755310178,-6.792905644231741,3.6670149702872106,1788.0,0.9992906741039713
14.0,0.010382372151844793,0.010281080004923584,32.57808981859209,0.015637148,11.037946666667024,-0.14159993676125524,-6.740926235570122,3.6701665780243764,1787.0,0.9993845047221704
15.0,0.010382343297908074,0.010266506910453896,32.59852999701564,0.01561741,11.037621666666626,-0.14748611552045685,-6.748451295926322,3.665943026619047,1786.0,0.9995854104394678
16.0,0.010386879769471958,0.010273364385570506,32.64553166972754,0.015603483,11.036751666666532,-0.1443597148341934,-6.744333905345226,3.658207269814097,1785.0,0.999552112695236
17.0,0.010380326391654504,0.010263600318512303,32.6543812817095,0.015605352,11.036168333333626,-0.1420823043235604,-6.73235764165333,3.6584788708970537,1784.0,0.9995362566265543
18.0,0.010376045207217991,0.01025809207851881,32.65819868401769,0.015597546,11.037659999999839,-0.13783291176817117,-6.720623441431162,3.6552010258856074,1783.0,0.9996427720996989
19.0,0.010365481346026124,0.010266404577488095,32.608829616985595,0.015597669,11.035643333333429,-0.14255694178616246,-6.805192087300828,3.660269074261832,1782.0,0.9995548175540111
20.0,0.010373648661673606,0.010263241831832389,32.67135085373284,0.015604116,11.036348333333445,-0.13671750220311704,-6.702576775736292,3.6442474428014746,1781.0,0.9995398009242596
21.0,0.010366285434665168,0.01025402813346474,32.70424964367695,0.015590034,11.05256500000008,-0.14259914729497092,-6.744752223526941,4.054334911614599,1780.0,0.9994441048862154
22.0,0.010361918504477794,0.010256528308975743,32.683801358286125,0.015593418,11.035986666666577,-0.13837073136111924,-6.705085106467083,3.640954362585485,1779.0,0.9994730188938117
23.0,0.010356734285675453,0.010254644613123368,32.729014280542366,0.015592872,11.03527166666657,-0.14339251815129422,-6.784198899898266,3.651750894262753,1778.0,0.9995986549203667
24.0,0.010346092762599818,0.010263258899873179,32.640431877403145,0.01561507,11.039660000000246,-0.14486506005614613,-6.71765701786926,3.635665324731727,1777.0,0.9995912865119791
25.0,0.010340168499871799,0.010261056405762142,32.57778464103077,0.015620004,11.03882666666662,-0.14017205158548818,-6.711642914785604,3.639666279526024,1776.0,0.9995074358899504
26.0,0.010335025930146341,0.010253967385356805,32.55802405578357,0.01562288,11.036601666666684,-0.14190920633339188,-6.739153662014602,3.6699009904934585,1775.0,0.9998511394963758
27.0,0.010342717821761261,0.010261478012450285,32.550449895482785,0.015632568,11.037473333333036,-0.14339617183551548,-6.7403041702169855,3.7134052920277494,1774.0,0.998639549307104
28.0,0.010352718889047765,0.010265376712613059,32.584033247411234,0.015611622,11.038128333333104,-0.14711268480416276,-6.725007534497273,3.64911842319991,1773.0,0.9988315010091454
